# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.entities.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1781546637878000000,1781546644002000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781546637878000000,1781546644002000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781546637878000000,1781546644002000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1781546637878000000,1781546644002000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1781546637878000000,1781546644002000000,0
workspaceModel.load.cache.from.file.ms,1781546637878000000,1781546644002000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1781546637878000000,1781546644002000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1781546637878000000,1781546644002000000,0
workspaceModel.pre.handlers.ms,1781546637878000000,1781546644002000000,0
workspaceModel.loading.from.cache.ms,1781546637878000000,1781546644002000000,10
workspaceModel.init.bridges.ms,1781546637878000000,1781546644002000000,0
workspaceModel.updates.precise.ms,1781546637878000000,1781546644002000000,0
workspaceModel.loading.total.ms,1781546637878000000,1781546644002000000,16
workspaceModel.to.snapshot.ms,1781546637878000000,1781546644002000000,0
workspaceModel.updates.count,1781546637878000000,1781546644002000000,0
workspaceModel.update.unloaded.entities.ms,1781546637878000000,1781546644002000000,0
workspaceModel.check.recursive.update.ms,1781546637878000000,1781546644002000000,0
workspaceModel.replace.project.model.ms,1781546637878000000,1781546644002000000,0
workspaceModel.initializing.ms,1781546637878000000,1781546644002000000,0
workspaceModel.collect.changes.ms,1781546637878000000,1781546644002000000,0
workspaceModel.updates.ms,1781546637878000000,1781546644002000000,0
